Number,Questions,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Points
210,"What is the output of the following code? cpp int arr[] = {1, 2, 3, 4, 5}; std::cout << *(arr + 2);",A) 1,B) 2,C) 3,D) 4,C,4
211,Which of the following keywords is used to inherit a class in C++?,A) extend,B) inherit,C) class,D) public,D,2
212,What is the output of the following code? cpp int x = 5; int &ref1 = x; int &ref2 = ref1; std::cout << ref2;,A) 5,B) &x,C) ref1,D) Compilation error,A,4
213,Which of the following is true about the 'const' keyword in C++?,"A) It makes a variable constant, and its value cannot be changed.",B) It is used to define a constant class.,C) It is used to create constant functions.,D) It is used to declare constant pointers.,A,1
214,Which of the following is true about namespaces in C++?,A) Namespaces allow defining variables with the same name in different scopes.,B) Namespaces are used to declare classes only.,C) Namespaces cannot be nested.,D) Namespaces prevent name conflicts by providing a scope for identifiers.,D,3
215,Which of the following is true about virtual destructors in C++?,A) Virtual destructors prevent memory leaks.,B) Virtual destructors are used to deallocate memory of base class objects.,C) Virtual destructors are not allowed in C++.,D) Virtual destructors ensure that the destructor of the derived class is called first.,A,3
216,Which of the following is not a standard C++ data type?,A) int,B) float,C) string,D) char,C,3
217,Which keyword is used to dynamically allocate memory in C++?,A) allocate,B) malloc,C) new,D) create,C,3
218,What is the output of the following code? cpp int x = 10; int *p = &x; std::cout << p[0];,A) 10,B) Address of x,C) Compilation error,D) Undefined behavior,A,4
219,Which data structure is used to implement a LIFO (Last In First Out) behavior?,A) Queue,B) Stack,C) Linked List,D) Tree,B,2
220,What does the 'mutable' keyword do in C++?,A) It makes a variable constant.,"B) It allows a member function to modify the object it belongs to, even if the object is declared as const.",C) It specifies that a function cannot modify an object.,D) It prevents inheritance.,B,2
221,What is the purpose of the 'volatile' keyword in C++?,A) It indicates that a variable may change asynchronously.,B) It prevents a variable from being modified.,C) It specifies that a variable cannot be accessed by multiple threads.,D) It is used to declare constant variables.,A,2
222,Which of the following is not a valid access specifier in C++?,A) public,B) protected,C) internal,D) private,C,2
223,What is the primary difference between a struct and a class in C++?,"A) Structs support inheritance, while classes do not.","B) Classes have private access by default, while structs have public access by default.","C) Structs cannot have member functions, while classes can.",D) There is no difference between structs and classes in C++.,B,2
224,Which of the following is used to exit a loop in C++?,A) exit(),B) break,C) stop(),D) end(),B,2
225,What is the purpose of the 'inline' keyword in C++?,A) It specifies that a function should be compiled as inline assembly.,"B) It indicates that a function's definition is provided in the header file, allowing the compiler to inline the function's code.",C) It prevents a function from being inlined.,D) It indicates that a function should be compiled with maximum optimization.,B,1
226,Which of the following is used to open a file in C++?,A) open(),B) read(),C) fopen(),D) ifstream(),D,2
227,Which of the following is not a standard C++ loop structure?,A) for loop,B) while loop,C) do-while loop,D) repeat loop,D,3
228,What is the output of the following code? cpp int x = 5; std::cout << ++x;,A) 5,B) 6,C) 10,D) Compilation error,B,4
229,Which of the following is true about templates in C++?,A) Templates are used to define constants.,B) Templates allow for generic programming by defining generic types and functions.,C) Templates are used to declare static members.,D) Templates are only applicable to classes.,B,2
230,Which of the following is true about references in C++?,A) References cannot be reassigned once initialized.,B) References must be initialized with a default value.,C) References can only refer to primitive data types.,D) References have their own memory address.,A,2
231,Which of the following is not a valid way to initialize an array in C++?,"A) int arr[] = {1, 2, 3};","B) int arr[3] = {1, 2, 3, 4};",C) int arr[3];,"D) int arr[3] {1, 2, 3};",B,2
232,Which of the following is true about the 'delete' operator in C++?,A) It is used to deallocate memory allocated using malloc().,B) It is used to delete files from the system.,C) It is used to destroy objects created using new.,D) It is used to remove elements from an array.,C,1
233,Which of the following is true about pointers in C++?,A) Pointers cannot be used in function arguments.,B) Pointers store the address of variables or functions.,C) Pointers cannot be initialized.,D) Pointers are a form of primitive data type.,B,2
234,Which of the following is used to access the value at the address stored in a pointer variable?,A) Dereferencing operator (),B) Assignment operator (=),C) Address-of operator (&),D) Increment operator (++),A,2
235,Which of the following is not a valid type of function in C++?,A) Member function,B) Friend function,C) Public function,D) Static function,C,2
236,Which of the following data structures organizes elements in a sorted order based on their values?,A) Array,B) Queue,C) Stack,D) Binary Search Tree,D,3
237,Which of the following is true about the 'static' keyword in C++?,A) It is used to declare global variables.,B) It allows access to private members of a class.,C) It creates objects of a class.,D) It makes variables or functions belong to the class rather than instances of the class.,D,2
238,Which of the following is true about recursion in programming?,A) Recursion is always more efficient than iteration.,B) Recursion involves a function calling itself.,C) Recursion can only be used with arrays.,D) Recursion is not supported in C++.,B,1
239,Which of the following is used to include the contents of one file into another file in C++?,"A) #include ""filename""",B) #include <filename>,C) #include {filename},"D) import ""filename""",A,2
240,What is the output of the following code? cpp int x = 5; std::cout << x--;,A) 4,B) 5,C) 6,D) Compilation error,B,4
241,Which of the following is true about the 'const' keyword in function parameters?,A) It prevents the function from modifying the parameter.,B) It makes the parameter mandatory.,C) It allows the function to modify the parameter.,D) It is used to declare a constant function.,A,2
242,Which of the following is used to perform dynamic memory allocation in C++?,A) malloc(),B) free(),C) new,D) delete,C,3
243,Which of the following is not a valid type of operator in C++?,A) Arithmetic operators,B) Relational operators,C) Logical operators,D) Decision operators,D,2
244,Which of the following is true about the 'extern' keyword in C++?,A) It is used to define global variables.,B) It is used to declare global variables without defining them.,C) It is used to declare static variables.,D) It is used to declare local variables.,B,2
245,Which of the following is true about the 'typedef' keyword in C++?,A) It is used to define new data types.,B) It is used to declare variables.,C) It is used to define constants.,D) It is used to declare functions.,A,1
246,"What is the output of the following code? cpp int arr[5] = {1, 2, 3, 4, 5}; std::cout << arr[3];",A) 1,B) 2,C) 4,D) 5,C,4
247,Which of the following is true about the 'nullptr' keyword in C++?,A) It is used to define null pointers.,B) It is used to create null objects.,C) It is used to terminate loops.,D) It is used to specify a function as null.,A,2
248,What is the purpose of the 'const' keyword in C++?,A) To declare a constant variable.,B) To specify a function as a constant.,C) To define a constant class.,D) To create constant pointers.,A,2
249,What is the output of the following code? cpp int x = 7; int y = 3; std::cout << (x / y);,A) 2,B) 2.0,C) 3,D) Compilation error,A,4
250,Which data structure is typically used to implement a queue?,A) Linked List,B) Stack,C) Binary Search Tree,D) Array,A,1
251,What does the 'break' statement do in a loop?,A) It continues to the next iteration of the loop.,B) It exits the loop immediately.,C) It skips a specific iteration of the loop.,D) It restarts the loop from the beginning.,B,3
252,"What is the output of the following code? cpp int arr[5] = {1, 2, 3, 4, 5}; std::cout << arr[10];",A) 1,B) 2,C) 4,D) Compilation error,D,4
253,Which of the following is true about the 'typedef' keyword in C++?,A) It is used to create aliases for existing data types.,B) It is used to define new classes.,C) It is used to define macros.,D) It is used to declare static variables.,A,2
254,Which of the following correctly initializes a string variable in C++?,"A) std::string name = ""John"";","B) string name = ""John"";","C) char name[] = ""John"";","D) name = ""John"";",A,2
255,What is the purpose of the 'static' keyword in C++ classes?,A) It allows access to private members.,B) It prevents the class from being inherited.,C) It makes the members belong to the class rather than instances.,D) It defines constant members.,C,3
256,What is the output of the following code? cpp int x = 10; int y = 3; std::cout << (x % y); ,A) 1,B) 2,C) 3,D) Compilation error,A,4
257,Which of the following data structures uses First-In-First-Out (FIFO) ordering?,A) Stack,B) Queue,C) Linked List,D) Binary Tree,B,1
258,What does the 'continue' statement do in a loop?,A) It exits the loop.,B) It skips the remaining code in the loop and continues with the next iteration.,C) It restarts the loop from the beginning.,D) It skips a specific iteration of the loop.,B,3
259,Which of the following is true about the 'nullptr' keyword in C++?,A) It is used to define null pointers.,B) It is used to create null objects.,C) It is used to terminate loops.,D) It is used to specify a function as null.,A,3
260,Which of the following is true about the 'break' statement in C++?,A) It exits the program immediately.,B) It exits the current loop or switch statement.,C) It continues to the next iteration of the loop.,D) It skips a specific iteration of the loop.,B,2
261,Which of the following is true about the 'typedef' keyword in C++?,A) It is used to define new data types.,B) It is used to declare variables.,C) It is used to define constants.,D) It is used to declare functions.,A,2
262,Which of the following is not a valid type of loop in C++?,A) for loop,B) while loop,C) do-while loop,D) forever loop,D,2
263,Which of the following is true about the 'nullptr' keyword in C++?,A) It is used to define null pointers.,B) It is used to create null objects.,C) It is used to terminate loops.,D) It is used to specify a function as null.,A,2
264,Which of the following data structures organizes elements in a sorted order based on their values?,A) Array,B) Queue,C) Stack,D) Binary Search Tree,D,2
265,What does the 'continue' statement do in a loop?,A) It exits the loop.,B) It skips the remaining code in the loop and continues with the next iteration.,C) It restarts the loop from the beginning.,D) It skips a specific iteration of the loop.,B,2
266,"What is the output of the following code? cpp int arr[5] = {1, 2, 3, 4, 5}; std::cout << arr[10];",A) 1,B) 2,C) 4,D) Compilation error,D,4
267,What is the purpose of the 'break' statement in a switch-case construct?,A) To continue to the next case.,B) To exit the switch statement.,C) To skip a specific case.,D) To restart the switch statement.,B,3
268,Which of the following is true about the 'nullptr' keyword in C++?,A) It is used to define null pointers.,B) It is used to create null objects.,C) It is used to terminate loops.,D) It is used to specify a function as null.,A,2
269,Which of the following is true about the 'const' keyword in C++?,A) It makes a variable constant.,B) It allows a function to modify an object.,C) It is used to declare static variables.,D) It prevents inheritance.,A,2
270,What is the output of the following code? cpp int x = 5; int y = 3; std::cout << (x += y);,A) 5,B) 8,C) 15,D) Compilation error,B,4
271,Which of the following correctly initializes a string in C++?,"A) string name = ""John"";","B) char name = ""John"";","C) std::string name = ""John"";","D) name = ""John"";",C,2
272,Which of the following data structures uses Last-In-First-Out (LIFO) ordering?,A) Queue,B) Stack,C) Linked List,D) Binary Tree,B,2
273,What does the 'continue' statement do in a loop?,A) It exits the loop.,B) It skips the remaining code in the loop and continues with the next iteration.,C) It restarts the loop from the beginning.,D) It skips a specific iteration of the loop.,B,2
274,Which of the following is true about the 'static' keyword in C++?,A) It is used to define global variables.,B) It allows access to private members of a class.,C) It creates objects of a class.,D) It makes variables or functions belong to the class rather than instances of the class.,D,2
275,Which of the following is not a valid way to initialize a string in C++?,"A) std::string name = ""John"";","B) char name[] = ""John"";","C) string name = ""John"";","D) name = ""John"";",D,2
276,Which of the following is true about the 'nullptr' keyword in C++?,A) It is used to define null pointers.,B) It is used to create null objects.,C) It is used to terminate loops.,D) It is used to specify a function as null.,A,2
277,Which of the following is true about the 'const' keyword in C++?,A) It makes a variable constant.,B) It allows a function to modify an object.,C) It is used to declare static variables.,D) It prevents inheritance.,A,2
278,Which of the following correctly initializes a string in C++?,"A) string name = ""John"";","B) char name = ""John"";","C) std::string name = ""John"";","D) name = ""John"";",C,2
279,Which of the following data structures uses Last-In-First-Out (LIFO) ordering?,A) Queue,B) Stack,C) Linked List,D) Binary Tree,B,2
280,Which of the following is true about the 'static' keyword in C++?,A) It is used to define global variables.,B) It allows access to private members of a class.,C) It creates objects of a class.,D) It makes variables or functions belong to the class rather than instances of the class.,D,2
281,Which of the following is true about the 'nullptr' keyword in C++?,A) It is used to define null pointers.,B) It is used to create null objects.,C) It is used to terminate loops.,D) It is used to specify a function as null.,A,2
282,What was the primary motivation behind the development of C++?,A) To improve the performance of C programs,B) To add object-oriented features to the C language,C) To replace the C language entirely,D) To make programming easier for beginners,B,2
283,Which programming language heavily influenced the syntax and semantics of C++?,A) Java,B) C,C) Python,D) Pascal,B,2
284,What was the original name of C++ before it was renamed to C++?,A) C# (C Sharp),B) D++,C) C--,D) C with Classes,D,2
285,Which of the following is a feature introduced in C++11?,A) Smart pointers,B) Templates,C) Namespaces,D) Exception handling,A,2
286,What is the significance of the 'const' keyword in C++?,A) It creates constant variables.,B) It defines static variables.,C) It allows multiple inheritance.,D) It is used for type casting.,A,2
287,What is a binary tree data structure?,A) A tree where each node can have more than two children,B) A tree where each node has exactly two children,C) A tree where nodes are arranged in a circular fashion,D) A tree that cannot have any children,B,2
288,What is the purpose of a heap data structure?,A) To store elements in sorted order,B) To represent a hierarchical tree structure,C) To perform priority queue operations efficiently,D) To manage memory allocation and deallocation,C,2
289,What is a trie data structure used for?,A) Representing hierarchical relationships,B) Storing elements in a sorted order,C) Efficiently storing and searching strings,D) Managing memory allocation,C,2
290,What is the main advantage of using a linked list over an array?,A) Linked lists have faster access times for elements.,B) Linked lists can resize dynamically.,C) Linked lists have better cache performance.,D) Linked lists consume less memory.,B,2
291,What is a priority queue data structure used for?,A) Storing elements in sorted order,B) Performing priority-based sorting,C) Representing hierarchical relationships,D) Handling memory allocation,B,2
292,What is the purpose of a doubly linked list data structure?,A) To store elements in a sorted order,B) To represent hierarchical relationships,C) To efficiently perform insertion and deletion operations,D) To perform priority queue operations,C,2
293,What is a graph data structure used for?,A) Representing linear data,B) Storing elements in a hierarchical manner,C) Representing relationships between objects,D) Managing memory allocation,C,2
294,What is the time complexity of finding the shortest path between two nodes in a graph using Dijkstra's algorithm?,A) O(log n),B) O(n),C) O(n log n),D) O(E + V log V),D,2
295,What is an AVL tree data structure used for?,A) Efficiently storing and searching strings,B) Representing hierarchical relationships,C) Ensuring balanced binary search trees,D) Managing priority queue operations,C,2
296,What is a hash map data structure used for?,A) Storing elements in a sorted order,B) Efficiently storing and retrieving key-value pairs,C) Performing priority-based sorting,D) Representing hierarchical relationships,B,2
297,Who is credited with the creation of the STL (Standard Template Library) in C++?,A) Bjarne Stroustrup,B) Alexander Stepanov,C) Dennis Ritchie,D) Donald Knuth,B,2
298,What is the purpose of the auto keyword introduced in modern C++ versions?,A) To define global variables,B) To specify static data types,C) To enable automatic type inference,D) To control memory allocation,C,2
299,Which data structure is suitable for implementing a Least Recently Used (LRU) cache?,A) Stack,B) Queue,C) Linked List,D) Binary Search Tree,C,2
300,What is the time complexity of finding an element in a binary search tree (BST) with n nodes in the worst case?,A) O(1),B) O(log n),C) O(n),D) O(n log n),B,2
